Profile: Function timing, sorted by time
Date:    Sun Jul 28 12:57:49 2002


Programmstatistik
-----------------
    2002 Jul 28 12:30 Befehlszeile: "C:\code\GePhex\bin\engine2"  
    Gesamtzeit: 257620,194 Millisekunden
    Zeit ausserhalb von Funktionen: 102,732 Millisekunden
    Aufruftiefe: 30
    Gesamtfunktionen: 4619
    Gesamtaufrufe: 55996062
    Funktionsabdeckung: 65,3%
    Berechneter Verwaltungsaufwand: 6
    Durchschnittlicher Aufwand: 6

Modulstatistik fuer engine2.exe
-------------------------------
    Zeit innerhalb des Moduls: 257517,462 Millisekunden
    100,0% Prozent im Modul
    4619 Funktionen im Modul
    Aufrufe im Modul: 55996062 
    Modulfunktionsabdeckung: 65,3%

        Funkt.        Funkt.+Unterfkt.      Anzahl
        Zeit     %         Zeit       %          Aufrufe  Funktion
------------------------------------------------------------------
    1041,426   0,4     1041,426   0,4   480812 std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Acc::_Next(struct std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Node *) (runtimesystem.obj)
    1040,356   0,4     1040,356   0,4   448032 std::list<class IInput *,class std::allocator<class IInput *> >::iterator::operator==(class std::list<class IInput *,class std::allocator<class IInput *> >::iterator const &) (c_output.obj)
    1034,489   0,4     1475,144   0,6   250665 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::max_size(void) (main.obj)
    1022,307   0,4     3732,419   1,4   262262 std::allocator<class IInput *>::deallocate(void *,unsigned int) (c_output.obj)
    1016,768   0,4     1016,768   0,4   483028 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::_Refcnt(char const *) (main.obj)
    1016,195   0,4     1497,471   0,6   141904 std::_Tree<int,struct std::pair<int const ,class utils::AutoPtr<class renderer::ModuleControlBlock> >,struct std::map<int,class utils::AutoPtr<class renderer::ModuleControlBlock>,struct std::less<int>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Kfn,struct std::less<int>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Key(struct std::_Tree<int,struct std::pair<int const ,class utils::AutoPtr<class renderer::ModuleControlBlock> >,struct std::map<int,class utils::AutoPtr<class renderer::ModuleControlBlock>,struct std::less<int>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Kfn,struct std::less<int>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Node *) (runtimesystem.obj)
    1011,302   0,4    20425,850   7,9   103811 std::list<class IInput *,class std::allocator<class IInput *> >::~list<class IInput *,class std::allocator<class IInput *> >(void) (c_output.obj)
    1006,092   0,4     2215,915   0,9    45114 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::assign(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,unsigned int,unsigned int) (main.obj)
    1004,139   0,4    43417,898  16,9    10928 renderer::`anonymous namespace'::sendInputValues(class utils::AutoPtr<class renderer::ModuleControlBlock>,class IControlValueReceiver *,class std::map<int,class utils::AutoPtr<class renderer::ModuleControlBlock>,struct std::less<int>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > > const &,int) (runtimesystem.obj)
     998,022   0,4     2882,917   1,1   316902 std::list<class IInput *,class std::allocator<class IInput *> >::iterator::operator++(int) (c_output.obj)
     990,643   0,4     3278,579   1,3   262263 std::allocator<class IInput *>::_Charalloc(unsigned int) (c_module.obj)
     929,020   0,4     2953,668   1,1   201102 std::locale::~locale(void) (main.obj)
     920,311   0,4      920,311   0,4   475353 std::list<class IInput *,class std::allocator<class IInput *> >::_Acc::_Value(struct std::list<class IInput *,class std::allocator<class IInput *> >::_Node *) (c_module.obj)
     917,852   0,4      917,852   0,4   524344 std::list<int,class std::allocator<int> >::_Acc::_Value(struct std::list<int,class std::allocator<int> >::_Node *) (model.obj)
     906,750   0,4      906,750   0,4   274939 operator new(unsigned int,void *) (main.obj)
     906,273   0,4      906,273   0,4   333016 utils::Buffer::getPtr(void) (buffer.obj)
     894,350   0,3     3590,767   1,4    38785 std::operator<<(class std::basic_ostream<char,struct std::char_traits<char> > &,char) (modelstatusreceivernet.obj)
     885,676   0,3     1250,142   0,5    70904 utils::Buffer::Buffer(class Buffer::Buffer const &) (buffer.obj)
     885,510   0,3     1487,772   0,6   273192 std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::iterator::iterator(struct list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::iterator::_Node *) (runtimesystem.obj)
     880,794   0,3      880,828   0,3       63 dllloader::DllLoader::openSharedLibrary(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (dllloader.obj)
     867,447   0,3     3428,956   1,3    95891 std::basic_streambuf<char,struct std::char_traits<char> >::xsputn(char const *,int) (main.obj)
     853,603   0,3     3434,721   1,3   185714 utils::AutoPtr<class renderer::ModuleControlBlock>::~AutoPtr<class renderer::ModuleControlBlock>(void) (runtimesystem.obj)
     827,168   0,3     2973,509   1,2    43792 std::list<int,class std::allocator<int> >::insert(class std::list<int,class std::allocator<int> >::iterator,int const &) (graphnode.obj)
     825,639   0,3     3450,301   1,3    10928 std::num_put<char,class std::ostreambuf_iterator<char,struct std::char_traits<char> > >::do_put(class std::ostreambuf_iterator<char,struct std::char_traits<char> >,class std::ios_base &,char,double) (sequencerstatusreceivernet.obj)
     816,592   0,3     2396,889   0,9    62588 std::use_facet(class std::locale const &,class std::num_put<char,class std::ostreambuf_iterator<char,struct std::char_traits<char> > > const *,bool) (sequencerstatusreceivernet.obj)
     806,395   0,3      806,395   0,3   382267 utils::AutoPtr<class renderer::ModuleControlBlock>::c_ptr(void) (runtimesystem.obj)
     791,033   0,3     3950,096   1,5    69342 std::num_put<char,class std::ostreambuf_iterator<char,struct std::char_traits<char> > >::_Putc(class std::ostreambuf_iterator<char,struct std::char_traits<char> >,char const *,unsigned int) (sequencerstatusreceivernet.obj)
     786,865   0,3     2427,618   0,9   197327 std::basic_ostream<char,struct std::char_traits<char> >::sentry::~sentry(void) (main.obj)
     776,883   0,3     2865,144   1,1    43713 std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::insert(class std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::iterator,class utils::AutoPtr<class renderer::ModuleControlBlock> const &) (runtimesystem.obj)
     767,167   0,3     2291,078   0,9    66872 std::use_facet(class std::locale const &,class std::numpunct<char> const *,bool) (structreader.obj)
     764,082   0,3      764,082   0,3   521784 CInput::getIndex(void) (c_input.obj)
     753,853   0,3     3872,517   1,5    83004 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >(char const *,class basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::allocator<char> const &) (main.obj)
     738,598   0,3     3013,094   1,2    43632 std::list<int,class std::allocator<int> >::erase(class std::list<int,class std::allocator<int> >::iterator) (model.obj)
     721,826   0,3     1160,411   0,5   146436 std::locale::_Getfacet(unsigned int,bool) (locale0.obj)
     704,788   0,3     1141,480   0,4   146436 std::locale::_Iscloc(void) (locale0.obj)
     696,895   0,3      813,970   0,3   224716 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::c_str(void) (main.obj)
     671,173   0,3      671,173   0,3   254734 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::size(void) (main.obj)
     658,362   0,3     2923,266   1,1    94839 std::ostreambuf_iterator<char,struct std::char_traits<char> >::operator=(char) (sequencerstatusreceivernet.obj)
     651,441   0,3      770,163   0,3     7377 net::TCPSocket::receive(void) (tcpsocket.obj)
     649,437   0,3    11497,388   4,5   150255 std::list<class IInput *,class std::allocator<class IInput *> >::push_back(class IInput * const &) (c_module.obj)
     647,773   0,3     1219,562   0,5   124064 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::compare(unsigned int,unsigned int,char const *,unsigned int) (main.obj)
     639,054   0,2      639,054   0,2   359554 std::char_traits<char>::eq_int_type(int const &,int const &) (main.obj)
     638,422   0,2      809,528   0,3    98347 std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::empty(void) (runtimesystem.obj)
     632,044   0,2      632,044   0,2   316902 std::list<class IInput *,class std::allocator<class IInput *> >::const_iterator::_Mynode(void) (c_module.obj)
     631,261   0,2     2166,705   0,8    43653 std::_Tree<int,struct std::pair<int const ,class utils::AutoPtr<class renderer::ModuleControlBlock> >,struct std::map<int,class utils::AutoPtr<class renderer::ModuleControlBlock>,struct std::less<int>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Kfn,struct std::less<int>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Lbound(int const &) (runtimesystem.obj)
     627,023   0,2     1245,064   0,5   158451 std::_Construct(class IInput * *,class IInput * const &) (c_module.obj)
     615,002   0,2     6744,501   2,6    82858 std::basic_istream<char,struct std::char_traits<char> >::get(char &) (xmlutils.obj)
     609,870   0,2      609,870   0,2   359620 std::char_traits<char>::eof(void) (main.obj)
     604,930   0,2     1862,531   0,7    54660 std::locale::locale(void) (main.obj)
     602,263   0,2      602,263   0,2   273192 std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::const_iterator::const_iterator(struct list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::const_iterator::_Node *) (runtimesystem.obj)
     595,706   0,2    16727,028   6,5   142056 CInput::update(void) (c_input.obj)
     590,557   0,2     4216,412   1,6   197327 std::basic_ostream<char,struct std::char_traits<char> >::sentry::sentry(class basic_ostream<char,struct std::char_traits<char> >::sentry &) (main.obj)
     586,650   0,2     3281,121   1,3    25023 utils::Buffer_streambuf::sync(void) (bufferstream.obj)
     580,796   0,2     1613,701   0,6    73299 std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::compare(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &) (main.obj)
     577,872   0,2      577,999   0,2   316523 std::basic_ios<char,struct std::char_traits<char> >::setstate(int,bool) (main.obj)
     571,602   0,2     1163,128   0,5   146787 std::locale::id::operator unsigned int(void) (main.obj)
     569,610   0,2      569,610   0,2   349860 std::list<int,class std::allocator<int> >::_Acc::_Prev(struct std::list<int,class std::allocator<int> >::_Node *) (model.obj)
     566,395   0,2      566,395   0,2   360619 std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Acc::_Prev(struct std::list<class utils::AutoPtr<class renderer::ModuleControlBlock>,class std::allocator<class utils::AutoPtr<class renderer::ModuleControlBlock> > >::_Node *) (runtimesystem.obj)
     566,305   0,2     1040,726   0,4   185716 utils::AutoPtr<class renderer::ModuleControlBlock>::AutoPtr<class renderer::ModuleControlBlock>(class AutoPtr<class renderer::ModuleControlBlock>::AutoPtr<class renderer::ModuleControlBlock> const &) (runtimesystem.obj)
     565,015   0,2     1304,657   0,5   197327 std::basic_ostream<char,struct std::char_traits<char> >::osfx(void) (main.obj)
     562,752   0,2     2552,321   1,0    10928 std::num_put<char,class std::ostreambuf_iterator<char,struct std::char_traits<char> > >::_Fput(class std::ostreambuf_iterator<char,struct std::char_traits<char> >,class std::ios_base &,char,char const *,unsigned int,unsigned int) (sequencerstatusreceivernet.obj)
     552,824   0,2      552,824   0,2   356416 std::basic_ios<char,struct std::char_traits<char> >::rdbuf(void) (main.obj)
     541,456   0,2     2256,129   0,9   146423 std::ios_base::getloc(void) (main.obj)
     538,591   0,2      941,250   0,4   158451 std::allocator<class IInput *>::destroy(class IInput * *) (c_output.obj)
     534,830   0,2      534,830   0,2   334403 std::basic_streambuf<char,struct std::char_traits<char> >::gptr(void) (main.obj)
